Article Content,Category
"The company initially announced that it would be getting involved in autonomous vehicles at CES 2018 through a partnership with Toyota. The demo vehicle, known as the e-Palette, was designed as a multi-function, autonomous minivan to move goods, people, or even a mobile office. The plan was to debut up to 20 of its e-Palette vehicles at the 2020 Summer Olympics and Paralympic Games in Tokyo to transport athletes. But the Covid-19 pandemic forced Japanese organizers to postpone these sports events until July 2021.",Companies Working on Autonomous Cars
"In 2015, Amazon explored a trial with DHL and Audi that involved delivering customers’ parcels to the trunks of their automobiles.",Companies Working on Autonomous Cars
"In the same year, Amazon filed for a patent for a system that helps autonomous cars navigate roadways, especially complex, reversible lanes, and even pick which lane to use depending on current traffic estimates — an early indicator of the company’s ambitions in this space and AVs’ importance to Amazon when it comes to lowering delivery costs. The company was granted the patent in early 2017.",Companies Working on Autonomous Cars
"In April 2017, the Wall Street Journal reported that Amazon had built a team more than a year prior devoted to focusing on driverless vehicle technology.",Companies Working on Autonomous Cars
"Read more: The Verge, CNBC, Forbes, Business Insider, TechCrunch",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"In January 2019, Apple cut more than 200 employees from its self-driving car initiative, Project Titan, in what was internally described as a “restructuring.” Five months later, Apple confirmed that it had acquired Drive.ai, a self-driving startup that is backed by more than $77M in funding and was valued at $200M in 2017. The move is reported to be an “acqui-hire,” with Apple’s interests lying more with Drive.ai’s talent than its proprietary technology.",Companies Working on Autonomous Cars
"For Apple, the move appears to be an effort to get its own autonomous vehicle efforts back on track. Project Titan has suffered setbacks since as early 2016, which marked the departure of project head Steve Zadesky and a rumored hiring freeze, as well as strategic uncertainty about the vision of the project.",Companies Working on Autonomous Cars
"In July 2016, Apple selected its legendary hardware executive Bob Mansfield to lead its effort, in addition to hiring Dan Dodge, the founder and former CEO of QNX. The hires indicated a shift in strategy, with Project Titan reportedly deciding to prioritize the development of an autonomous driving system, while deprioritizing development of an electric vehicle.",Companies Working on Autonomous Cars
"In April 2017, new details seemed to confirm this pivot: Apple documents revealed the company was building an “automated system,” and the company hired robotics experts from NASA to boost its driverless efforts.",Companies Working on Autonomous Cars
"Apple spent 2018 building out the beginnings of its self-driving car fleet, with 70 vehicles officially on the road and registered with the California DMV as of September of that year. This reportedly made Apple the owner of the third-largest autonomous test vehicle fleet in the state, behind GM Cruise and Waymo. Apple’s test fleet logged a total of 80,739 miles of autonomous driving time from April 2017 through November 2018. In the following 12 months, however, the program slowed, logging only 7,544 miles.",Companies Working on Autonomous Cars
"In May 2018, Apple was reportedly working to provide autonomous cars for employee transit between corporate facilities. The Volkswagen T6 transporter vans slated to be used will feature a human driver present in case of any issues with the self-driving technology in the car.",Companies Working on Autonomous Cars
"In June 2018, Apple brought on Jaime Waydo, a senior engineer with experience at both Waymo and NASA’s Jet Propulsion Laboratory, to work on Project Titan.",Companies Working on Autonomous Cars
"In late 2018, Apple poached a designer and vehicle engineer from Tesla, a move that suggested that it may be reevaluating Project Titan’s move away from building an autonomous vehicle. The company has also built prototypes of an electric van, Apple Insider reported in February 2019.",Companies Working on Autonomous Cars
"In December 2020, Apple transitioned Project Titan to its AI and machine learning group led by John Giannadrea, according to Bloomberg.",Companies Working on Autonomous Cars
The Cupertino-based giant secured a number of patents with the US Patent and Trademark Office in September 2020. One outlines a solution that recognizes when optical sensors fall out of alignment due to bumps in the road or vibrations and adjusts them automatically. Another patent describes a mechanism for steering during autonomous driving.,Companies Working on Autonomous Cars
CB Insights clients can view Apple’s vehicle-related patents here.,Companies Working on Autonomous Cars
"Read more: Gizmodo, The Guardian, Reuters, Bloomberg, The Guardian, Wall Street Journal",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"In February 2020, self-driving software company Aptiv and ridesharing company Lyft reached a major milestone: the companies crossed 100,000 rides of its autonomous passenger service in Las Vegas. The company now services over 3,400 spots in Las Vegas, including popular locations such as the Los Angeles Convention Center and McCarren International Airport.",Companies Working on Autonomous Cars
"The program features a fleet of BMW 540s, retrofitted with Aptiv’s autonomous tech but with a safety driver present in the car. Reception to the program has been positive: Lyft reports that 98% of the passengers who took the rides gave the service a 5-star rating.",Companies Working on Autonomous Cars
"The Lyft partnership is just one of several programs that Aptiv has underway with its self-driving software. The company currently has autonomous driving operations in 4 markets: Boston, Las Vegas, Pittsburgh, and Singapore. In spring 2019, the company announced it was adding a fifth city, Shanghai.",Companies Working on Autonomous Cars
"The expansion into China is a major strategic move for Aptiv. China is expected to account for more than two-thirds of autonomous miles driven worldwide by 2040, according to McKinsey.",Companies Working on Autonomous Cars
Aptiv’s President of Autonomous Mobility Karl Iagnemma said:,Companies Working on Autonomous Cars
"“The long-term opportunity in China is off the charts… For Aptiv, it’s always been a question of not ‘if’ but ‘when’ we’re going to enter the Chinese market.”",Companies Working on Autonomous Cars
"These initiatives have translated into strong financial results for Aptiv. Over the course of 2019, the company’s stock posted gains of more than 50%. Stock performance was impressive in 2020 as well, with per share price reaching around $123 in December 2020.",Companies Working on Autonomous Cars
"Another major Aptiv initiative is Motional, its autonomous driving venture with Hyundai. The venture was officially unveiled in August 2020. Motional aims to build and commercialize SAE Level 4 vehicles (autonomous vehicles that can perform all driving functions), and make this technology available for robotaxi fleets in 2022. To make these plans a reality, Motional plans to increase its staff count to over 1,000 people in 2020. Karl Iagnemma, Motional’s president, says that his team “will have a car that can drive itself in defined areas ready for external testing by 2022.” In late November, the venture received approval from the state of Nevada to test its vehicles on public roads without safety drivers.",Companies Working on Autonomous Cars
"The last few years have witnessed a number of transformations at Aptiv. In May 2017, the company, then known as Delphi Automotive, spun off of its powertrain segment and rebranded itself as a new company: Delphi Technologies. A few months later, that company was renamed Aptiv. The rebrand was intended to focus the company’s software, electrical components, and other work on autonomous vehicles.",Companies Working on Autonomous Cars
"In October 2017, Delphi acquired autonomous software development shop nuTonomy, Inc. for $400M upfront. The goal of the acquisition was to get more than 60 Aptiv-branded autonomous cars onto public roads by the end of the year. The acquired startup had a strong track record: in 2016, nuTonomy integrated self-driving car technology into a ride-hailing service for the very first time in Singapore. It then also became the first to test such technology on public streets in Boston, Massachusetts. In April 2018 (after the acquisition), nuTonomy was officially named a finalist for Fast Company’s 2018 World Changing Ideas Awards.",Companies Working on Autonomous Cars
"The company has also partnered with Quanergy Systems to develop and deploy solid-state lidar, which could dramatically lower the cost of these systems.",Companies Working on Autonomous Cars
"Read more: Reuters, CNET, Ars Technica, Delphi, AP",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
Audi has made big promises about its plans for autonomous and electric vehicles. The German brand has said it plans to spend close to $16B on self-driving and sustainable tech by 2023.,Companies Working on Autonomous Cars
"Those efforts were primarily being undertaken by Autonomous Intelligent Driving (AID), Audi’s self-driving technology outfit, first launched in 2017. The operation, which is based in Munich and boasts more than 200 employees, had 12 autonomous vehicles on public roads in its home city in 2018.",Companies Working on Autonomous Cars
"Audi chief technology officer Alexandre Haag has compared AID to GM’s self-driving unit, Cruise, and Ford’s unit, Argo. But Haag is pragmatic about the realities of getting autonomous fleets deployed, given how much rests on the dependability — and safety — of the technology. He said:",Companies Working on Autonomous Cars
"“Getting to 90 percent [in perception] is fairly easy. Getting to 95 percent starts to get interesting. And then you still need to go way beyond that. Nine point nine nine nine nine… Adding each nine is ten times harder. When you’re at 95 percent, you’ve just scratched the surface.”",Companies Working on Autonomous Cars
"Audi formed new technology partnerships in an effort to expedite its autonomous timelines. In December 2018, the company announced that AID would partner with Luminar, a Silicon Valley manufacturer of lidar sensors and perception software that also works with Volvo and Toyota. But in June 2020, AID was acquired by the US-based startup Argo AI — jointly owned by Ford and Audi’s parent Volkswagen — and became its European headquarters and fifth engineering center.",Companies Working on Autonomous Cars
Audi is also part of the German consortium — which includes Daimler and BMW — that bought Nokia’s HERE precision mapping assets for $3.1B. HERE has made strides in designing an open specification for vehicle sensor data collected and transmitted to the cloud by connected vehicles.,Companies Working on Autonomous Cars
"Audi has revealed several autonomous vehicle prototypes derived from its A7 and RS 7 models, including consumer-oriented test vehicles. In July 2016, news broke that Audi was joining many automotive peers by setting up its own advanced subsidiary, SDS Company, to focus on self-driving tech. In April 2017, Audi hired former Tesla Autopilot program manager Alexandre Haag as the unit’s CTO. In June 2020, he was appointed the head of technology for Argo AI’s Munich office.",Companies Working on Autonomous Cars
"Audi plans to commercialize its technology in its next-generation A8 flagship, although the vehicle’s SAE Level 3 automation will have limited availability, pending regulatory approval. The luxury brand operates under the umbrella of the Volkswagen Group, so developments within the division could have broader implications going forward, as evident in the case of AID and Argo AI.",Companies Working on Autonomous Cars
"While a fully autonomous fleet may still be a ways away for Audi, the company has been among the most aggressive at introducing semi-autonomous options to the market.",Companies Working on Autonomous Cars
"In July 2017, Audi unveiled its new flagship A8, which has a controversial autonomous driving feature that lets drivers fully take their hands off the wheel while the car drives up to 37 mph. At the time, it was the first vehicle in production that could actually allow its users to “drive” hands-free.",Companies Working on Autonomous Cars
"The 2019 A8 model includes an enhanced suite of semi-autonomous features, including adaptive cruise control and collision mitigation capabilities, as well as improved object recognition.",Companies Working on Autonomous Cars
"The Audi A8 with the full complement of self-driving features has only been initially approved for release and made street-legal in Europe. But the company seems to be taking a step back: its A8 sedan won’t be equipped with the Level 3 partial automation system, called Traffic Jam Pilot, due to safety concerns and the lack of a legal framework.",Companies Working on Autonomous Cars
"Read more: TechCrunch, Wired, Digital Trends, USA Today",Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"As AVs are gradually deployed in the decades ahead, they will share the road with conventional vehicles and fallible human drivers. The promise of safer roads enabled by self-driving tech will take time to materialize. Carmakers are developing various safety solutions to account for inevitable crashes.",Companies Working on Autonomous Cars
"Autoliv, the world’s largest automotive safety supplier, is at the forefront of these efforts. The company is trying to reimagine the future of airbags and prevent human errors from turning into catastrophes. For example, drivers of autonomous vehicles may be able to swivel in their chairs, lower seats into beds, or turn around to talk to other passengers. In the event of an accident, typical seatbelts and airbags would be of little use.",Companies Working on Autonomous Cars
Autoliv is developing an airbag that resembles a protective cocoon and is integrated into the seat frame. It would protect drivers from loose items or unbuckled backseat passengers. Autoliv showcased a prototype in January 2019 at the AutoMobili-D exhibition in Detroit.,Companies Working on Autonomous Cars
"The company was also working with Volvo on creating self-driving software. In 2017, the duo established a new joint partnership called Zenuity that uses Nvidia’s AI technologies for software development. Three years later, Zenuity was split in two. Volvo took over the autonomous driving division, while Autoliv’s spinoff Veoneer will continue work on advanced driver assistance software. Both parent companies will retain access to Zenuity-owned technologies.",Companies Working on Autonomous Cars
We’ve written more about the future of the in-vehicle experience and safety technologies here.,Companies Working on Autonomous Cars
"Read more: Axios, Autovista",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"The Chinese autonomous vehicle market represents a huge opportunity — $500B by 2030, according to McKinsey. Companies around the world are jockeying to capture that market, including Chinese tech giants Tencent and Alibaba. But only one contender can claim nearly 2M miles of autonomous driving: Chinese search company Baidu.",Companies Working on Autonomous Cars
"The main hub of Baidu‘s automation efforts is Apollo, its open-source autonomous driving platform, which originally launched in 2017. Baidu’s COO has called Apollo the “Android of the autonomous driving industry.” More than 150 partners worldwide use the service, including automakers Chevy, Ford, Honda, Toyota, and Volkswagen, as well as technology company Intel, according to Baidu.",Companies Working on Autonomous Cars
"Baidu first began testing its open-source Apollo software system on the open road in 2017. In 2018, the company received approval from the Chinese government to start testing Apollo on 33 different roads spanning 65 miles around Beijing. The Beijing Municipal Commission of Transport also granted Baidu its first batch of T4 test permits — the highest level of autonomous vehicle clearance currently available in China. The T4 permits let Baidu operate its vehicles in challenging urban environments, such as tunnels and school zones. In January 2019, Baidu unveiled Apollo Enterprise, a new line that will focus primarily on use cases including highway driving, valet parking, autonomous mini-buses, and mapping technology. These efforts have yielded impressive results.",Companies Working on Autonomous Cars
"By December 2019, Baidu had 300 autonomous vehicles on the road and had logged over 3M kilometers (roughly 1.8M miles) of urban driving. The same month, Baidu received licenses to test its fleet of autonomous robot taxis in certain areas of Beijing. Nine months later, the company launched a robotaxi service in China’s capital. A fleet of 40 cars serves almost 100 pickup and drop-off stations, and rides can be summoned via Baidu’s e-hailing platform.",Companies Working on Autonomous Cars
"In August 2020, Baidu announced that its Apollo Computing Unit (ACU) was ready for use. The autonomous driving computer is capable of handling huge amounts of radar and camera data. It will power a valet parking service called Apollo Valet Parking, similar to Tesla’s Summon feature. ACU will initially be deployed in electric vehicles built by the China-based carmaker WM Motor.",Companies Working on Autonomous Cars
"Baidu has also entered a partnership with Zhejiang Geely Holding Group to equip Geely cars with self-driving technology provided by Baidu, including Apollo’s DuerOS. Tesla partnered with Baidu in January 2020 to use its mapping data for its vehicles in China.",Companies Working on Autonomous Cars
"In April 2014, Baidu partnered with BMW to develop a semi-autonomous prototype. The partners tested their technologies on highways in China but parted ways in November 2016 following disagreements about strategy.",Companies Working on Autonomous Cars
"The search giant has also opened two Silicon Valley artificial intelligence research labs, although Andrew Ng (its chief AI scientist) departed the company in March 2017. Baidu also intends to spin off its self-driving unit once it matures (similar to Alphabet with Waymo).",Companies Working on Autonomous Cars
"For years, Apollo has been used by chipmakers and small startups to kickstart work in self-driving cars, but big corporates — including Nvidia, Bosch, Daimler, and Ford — have also found it useful.",Companies Working on Autonomous Cars
"Read more: Venture Beat, Guardian, BBC, SCMP",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"BMW has begun aggressively pushing its autonomous strategy since showing off an autonomous i8 concept at CES 2016. In July 2019, the company announced a partnership with another German automaker, Daimler. The companies agreed to commit 1,200 technicians to the task of developing new autonomous systems with the goal of getting them on the road by 2024. But this collaboration ended less than a year later. The complexities and expenses of building a joint tech platform proved to be larger than the duo expected.",Companies Working on Autonomous Cars
"Munich-based BMW has been pursuing many other partnerships, too. In 2016, the company announced an alliance with Intel and Mobileye, which Chrysler and Magna also joined in 2017. The coalition plans to create an open standards-based platform for bringing self-driving cars to market, aiming to put its first vehicle, the BMW iNEXT, on the road by 2021, through recent reports suggest Level 3 partial automation (or above) will not be available at market launch.",Companies Working on Autonomous Cars
"Intel has been keen to push into the sector, having been beaten to the punch by companies like NXP and Nvidia to supply automotive silicon and autonomous processing power. In late 2016, it created a new Autonomous Driving Group (ADG) and committed $250M to auto tech investments through its Intel Capital arm. In March 2017, Intel further ramped up its autonomous focus when it announced its $15.3B acquisition of Mobileye.",Companies Working on Autonomous Cars
"Mobileye itself has a number of other partnerships through its Road Experience Management (REM) mapping platform, including Nissan, VW, and BMW. BMW is also part of the group that bought Nokia’s HERE mapping assets for $3.1B. In 2017, Intel took a 15% stake of HERE as well.",Companies Working on Autonomous Cars
"In 2018, BMW opened an autonomous driving campus near Munich, Germany, to work on self-driving pilot projects, making it BMW’s second workplace dedicated to autonomous technology alongside its office in Mountain View, California.",Companies Working on Autonomous Cars
"But the company is incorporating software from other smaller startups as well. In September 2020, it inked an agreement with Tactile Mobility, an Israel-based company whose technology detects road conditions by analyzing wheel speed, gear position, and other non-visual sensors.",Companies Working on Autonomous Cars
"Read more: CNBC, BMW Group, WSJ, Reuters",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"In December 2019, Bosch and partner Daimler started a trial for a self-driving taxi service in San Jose, California, a first for both the German companies. The companies said that a select group of users will be able to call for a Mercedes-Benz S-class vehicle through an app, to ply on a fixed route in the city. The passengers will be accompanied by a human driver to monitor the vehicle.",Companies Working on Autonomous Cars
The trial comes as part of a collaboration between Bosch and Daimler that stretches back to 2015. The companies have also announced plans for urban road-friendly vehicles to be brought to market by the early 2020s.,Companies Working on Autonomous Cars
"In July 2019, Bosch and partner Daimler received approval from German regulators to operate their autonomous parking feature without having a human safety driver behind the wheel. The approval marks the world’s first fully automated parking function to be approved for everyday use.",Companies Working on Autonomous Cars
"Bosch also teamed up with Ford on a similar project. In August 2020, the companies demonstrated an automated valet parking solution in downtown Detroit. A Ford Escape test vehicle “talked” with Bosch sensors to locate and park in an empty spot. These automated parking solutions can accommodate up to 20% more vehicles and deliver other services, such as refueling and charging.",Companies Working on Autonomous Cars
"Bosch, one of the world’s largest automotive suppliers, reportedly has more than 2,000 engineers for driver-assistance systems. The company is also in the process of constructing a $1.1B facility in Dresden that will produce semiconductors for use in autonomous vehicles, as well as smart home and smart city technologies. Production at this facility is set to begin in 2021.",Companies Working on Autonomous Cars
"In October 2019, Bosch became a part of a consortium working towards making self-driving technology commercially viable. Some other members of the Autonomous Vehicle Computing Consortium include Toyota, GM, Continental, Nvidia, and NXP.",Companies Working on Autonomous Cars
"Daimler-owned Mercedes-Benz has also been taking other steps toward self-driving cars. Like other luxury brands, Mercedes-Benz has begun deploying semi-automated advanced driver assistance systems in many of its newer models.",Companies Working on Autonomous Cars
"An ad characterizing Mercedes’ 2017 E-Class as “self-driving” landed the company in hot water, and it pulled the ad in the face of fierce criticism from consumer advocates. Like Tesla’s Autopilot, the E-Class was capable of Level 2 (partial) automation.",Companies Working on Autonomous Cars
"In April 2017, Bosch and Mercedes-Benz joined forces to develop Level 4 (high automation) and 5 (full automation) vehicles, with Mercedes-Benz having 2 years of exclusivity to the co-developed system before it can be offered to competing automakers.",Companies Working on Autonomous Cars
Read more: TechCrunch,Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"Over the last few years, Cisco has begun exploring the potential in building out the data collection and analysis layer of the autonomous driving and smart car industries.",Companies Working on Autonomous Cars
"In October 2017, Cisco began working with the State of Michigan’s Department of Transportation on a self-driving car “adjacent” initiative. The purpose of the project, also known as Cisco Connected Roadways, was to find ways to better connect individual automobiles on the road with the infrastructure around them — including roads, parking meters, and street lights.",Companies Working on Autonomous Cars
"At CES 2018, Cisco announced that, through a partnership with Hyundai, it would focus on bringing gigabit-speed Ethernet connectivity to smart cars — enabling both faster-than-ever over-the-air updates and setting the foundation for better self-driving technology.",Companies Working on Autonomous Cars
"Cisco says its Ethernet technology should allow automakers to save $35B over the next 4 years by eliminating the need for many routine dealership trips. It could also boost the development of autonomous technology, given how much information self-driving cars need to be able to process and send for analysis every second they are monitoring the road.",Companies Working on Autonomous Cars
"The networking giant is also testing its OpenRoam platform in close partnership with UK-based startup Oxbotica. The platform acts as an infrastructure that autonomous vehicles fitted with Oxbotica software could use to upload their data to the cloud. The rapid upload and download will be done through Wi-Fi hotspots at parking garages, gas stations, and more.",Companies Working on Autonomous Cars
"Read more: Business Insider, CNBC, ZDNet, Network World",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"German auto supplier Continental AG has steadily been operating its own autonomous vehicle program. The company has been taking a gradual approach to self-driving cars, only committing to a vague “2020s” time frame for its products and preferring to gradually roll out driver-assist technologies such as its “Cruising Chauffeur.”",Companies Working on Autonomous Cars
"In February 2020, Continental said it would invest €100M ($122M) to build a plant for radar sensors in Texas. The investment comes as part of the company’s plan to invest “high triple-digit million euros” in the areas of assisted and automated driving over the next 5 years.",Companies Working on Autonomous Cars
"At the company’s annual Tech Show in July 2019, Continental self-driving head Andree Hohm highlighted a number of barriers that made faster implementation of autonomous technologies untenable. These include continued technological limitations, consumer skepticism, and the variation in how technologies and regulations are taking shape from market to market. He said that:",Companies Working on Autonomous Cars
"“Lots of pilot projects are pushing forward, but in a very heterogeneous way. This is a very challenging scenario, because if we’re going to invest a lot of money we have to be sure that the solutions we create fit a wide variety of countries.”",Companies Working on Autonomous Cars
"Nevertheless, the company is moving forward with a number of autonomous technology efforts, including manufacturing parts for robotaxis, some of which are in use in the EZ10 autonomous shuttle from France-based company EasyMile.",Companies Working on Autonomous Cars
"In August 2019, Continental underscored its focus on electric vehicles when it announced that it would prioritize development of electric powertrains over internal combustion components. The move came a few months after the company appointed Dirk Abendroth, an auto industry veteran with expertise in electric powertrains and autonomous driving, as its technology head.",Companies Working on Autonomous Cars
"The German auto supplier is also teaming up with startups to expand its tech offering. In October 2020, Continental bought a minority stake in lidar startup AEye. The California-based company develops long-range lidar sensor technology that will complement Continental’s short-range lidar solutions. Frank Petznick, head of the advanced driver assistance systems business unit at Continental, said that this acquisition helps the company “facilitate automated driving at SAE Levels 3 or higher.”",Companies Working on Autonomous Cars
"In April 2017, Continental expanded its Silicon Valley research operations by opening an R&D lab in San Jose, California. The lab focuses on developing self-driving cars that can communicate with one another and with roadway infrastructure. Continental also said it would invest $300M to expand electric and hybrid vehicle technologies.",Companies Working on Autonomous Cars
"At the North American International Auto Show early in 2018, Continental executives discussed reorganizing the business and working to focus more on mobility and self-driving technology.",Companies Working on Autonomous Cars
"A few weeks later, Continental announced a new partnership with Nvidia to create self-driving vehicle systems, combining Continental’s automobile software engineering with Nvidia’s Drive platform and operating system. The goal is to develop an independent piece of autonomous technology that can then be marketed and sold to other automakers and grafted onto an existing vehicle to provide self-driving capabilities without the need for any complex, time-consuming, or expensive integration.",Companies Working on Autonomous Cars
"Read more: Reuters, SFGATE, Automotive News Europe",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"In April 2016, 6 convoys of truck “platoons” completed the first-ever cross-border trip of its kind. The experiment featured a dozen trucks from a diverse group of European brands — DAF, Daimler, Iveco, MAN, Scania, and Volvo — originating from various factories and converging in Rotterdam.",Companies Working on Autonomous Cars
"In the semi-autonomous “platooning” concept the group tested, multiple trucks controlled by a lead truck are connected through wireless signals, forming a train with one truck following another. This allows more trucks to be controlled by fewer people, maximizes efficiency, and decreases drag. However, the trucks featured in the test still required human drivers to be on board as a precaution.",Companies Working on Autonomous Cars
"Separately, Daimler has been testing its own autonomous trucks in Nevada since May 2015. The company announced it would be investing $570M in autonomous truck technology at CES 2018. Daimler has also created the Autonomous Technology Group (ATG), an organization focused specifically on developing “automated roadmaps” and other infrastructure initiatives to support the technology.",Companies Working on Autonomous Cars
"In March 2019, Daimler acquired the US-based self-driving company Torc Robotics and integrated it into ATG. The new partners have expanded the testing of autonomous trucks to New Mexico. Their goal is to bring SAE Level 4 vehicles to the roads by 2030. Daimler has also invested in Luminar, a lidar company, to gain access to vital sensors that will be a part of its autonomous trucks.",Companies Working on Autonomous Cars
The Germany-based vehicle manufacturer also teamed up with Waymo in late 2020. Daimler will provide a customized truck chassis that will be integrated with Waymo’s self-driving system.,Companies Working on Autonomous Cars
"In February 2019, Daimler and fellow German automotive giant BMW announced that they would collaborate on autonomous driving technology, with the goal of getting the project ready by the mid-2020s. Mercedes-Benz head of automated driving Michael Hafner said of the collaboration:",Companies Working on Autonomous Cars
"“We have learned that the development of these systems is a bit like climbing a mountain. Taking the first few meters from the base station to the summit seems easy. But the closer you come to the goal, the thinner the air around you becomes, the more strength is required for each further step, and the more complex become the challenges you have to solve.”",Companies Working on Autonomous Cars
"In August 2019, it was reported that Audi was set to join this alliance between Daimler and BMW, although none of the 3 automakers confirmed it.",Companies Working on Autonomous Cars
"Note: the Volkswagen Group owns a controlling stake in both MAN and Scania. Daimler Trucks is a division of Daimler AG, which was also part of the group that bought Nokia’s mapping assets for $3.1B. Volvo Trucks is now a distinct company from the Geely-owned Volvo Car Group, mentioned above.",Companies Working on Autonomous Cars
"In September 2017, Daimler announced that it would be testing connected trucks in a platooning configuration on public roads in the US following approval from the Oregon Department of Transportation. Daimler showcased the trucks, which can make an emergency stop while loaded to 78,000 GVW (gross vehicle weight), at the Portland International Raceway in June 2018.",Companies Working on Autonomous Cars
"Read more: CNBC, Engadget, BBC, Forbes, Trucking-Rave",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
