Article Content,Category
"Honda has the Honda Sensing Suite that includes ACC and Lane Keeping Assist System (LKAS). With Acura it’s called AcuraWatch and also comes with LKAS.  As with the Toyota / Lexus system, it allows the vehicle to center itself in the lane but isn’t particularly sophisticated and requires constant vigilance.   ",Autonomous Cars
"Subaru has offered their Eyesight technology for quite some time that provides ACC and basic LKA.  It uses two cameras above the windshield for stereoscopic vision.  While this does a decent job, it isn’t as robust as other systems that use a combination of cameras and radar.",Autonomous Cars
"While not an auto manufacturer, Comma.ai has released a DIY autopilot kit based on the openpilot, called Comma Two.  It only works on certain, modern cars but is an interesting alternative for those tech-savvy car enthusiasts who want to hack their cars. Additionally, it won high praise from Consumer Reports in terms of overall capabilities and functions. ",Autonomous Cars
"Autopilot-like functions are becoming more and more mainstream as technology improves. By 2022, most car manufacturers will be offering some sort of more advanced self-driving capabilities.",Autonomous Cars
"However, for now, if you want the most powerful AutoPilot-like functionality, we’d opt for a Tesla or GM vehicle with Super Cruise.  That said, Ford has a great system with BlueCruise, Hyundai / Kia has a solid offering on their latest vehicles, Audi is coming on strong and BMW, Nissan/Infiniti, and others will continue to expand their Mobileye offerings over the next few years. All other systems are still fairly immature and require heavy attentiveness, but will be improving quickly in early 2021.",Autonomous Cars
What’s Important to Know When Evaluating,Autonomous Cars
"When evaluating autopilot-like self driving systems, the main thing to look out for is Adaptive Cruise Control (ACC) and whether it handles starting and stopping at all speeds and on what kinds of roads.  Then learn how well the vehicle can identify roads and stay in the center of the lane, called Lane Centering.  Most manufacturers tout “Lane Keeping Assist” (LKA) as a way to help automate steering, but that’s different from Lane Centering and often a far cry from something like Tesla’s Autopilot system or Cadillac’s Super Cruise that are able to stay steadily centered in the lanes while driving.",Autonomous Cars
"If you’re not sure, check out videos on YouTube – enthusiasts and professionals often test out the systems to provide their opinions and real-world examples.",Autonomous Cars
"Also, ask the dealer how the system can be updated since technology and software changes so quickly.  In Tesla’s case, the Autopilot system is continually updated over-the-air with software updates.  Most other auto manufacturers require the updates to occur at the dealer during regular service updates.",Autonomous Cars
"Either way, the good news is that more and more cars will have autopilot features and help cars become much safer in the years to come.",Autonomous Cars
"If you’re a manufacturer or OEM and you’d like us to evaluate your vehicle, technology or just want to provide additional information, feel free to contact us directly.",Autonomous Cars
© AutoPilot Review,Autonomous Cars
,Autonomous Cars
"Join 700,000+ CB Insights newsletter readers",Companies Working on Autonomous Cars
"Beyond trendy names like Tesla and Alphabet chasing self-driving cars, a host of auto brands and other tech heavyweights are also investing in autonomous R&D.",Companies Working on Autonomous Cars
Start your free trial today,Companies Working on Autonomous Cars
Start your free trial today,Companies Working on Autonomous Cars
"Private companies working in auto tech are attracting record levels of deals and funding, with autonomous driving startups leading the charge.",Companies Working on Autonomous Cars
"Along with early-stage startups, VCs, and other investors, large corporations are also angling to get a slice of the self-driving pie.",Companies Working on Autonomous Cars
"Using CB Insights’ investment, acquisition, and partnership data, we identified over 40 companies developing road-going self-driving vehicles. They are a diverse group of players, ranging from automotive industry stalwarts to leading technology brands and telecommunications companies.",Companies Working on Autonomous Cars
This list is organized alphabetically and focuses on larger corporate players in the space (as opposed to earlier-stage startups). Companies working on industrial fully autonomous vehicles were not included in this analysis.,Companies Working on Autonomous Cars
"A few of the companies or brands listed below belong to the same parent organization but are detailed separately if they are operating distinct autonomous development programs. Some companies are grouped together by key partnerships or alliances. Given the complex web of relationships between these players, other collaborations are also noted in each profile.",Companies Working on Autonomous Cars
This is not intended to be an exhaustive list of corporations working on autonomous vehicle technology.,Companies Working on Autonomous Cars
"This brief was originally published on 9/25/2015 and featured 25 select corporations. It was updated and expanded on 5/17/2017, 9/4/2018, 8/28/2019, 3/4/20, and 12/16/20.",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"Over the last decade, Amazon has spent billions of dollars working on finding ever-better solutions to the last-mile problem in delivery. It’s built its own fleet of cargo jets, explored delivery by drone in the form of “Prime Air,” and more. More recently, an increasing percentage of that investment has been directed toward autonomous vehicle technology.",Companies Working on Autonomous Cars
"In September 2019, Amazon said that it planned to put 100,000 electric delivery vehicles on the road by 2030, with deliveries starting as soon as 2021. The US technology giant plans to buy these vehicles from Rivian, an electric automaker in which Amazon has invested $440M. Amazon revealed a prototype of these delivery vehicles in January 2020.",Companies Working on Autonomous Cars
"Amazon’s investment in Rivian came on the heels of its deal in February 2019 with Aurora Innovation, an autonomous tech startup run by former Google and Tesla executives that pioneered autonomous driving teams at both giants.",Companies Working on Autonomous Cars
An Amazon company spokesperson told Wired about the investment:,Companies Working on Autonomous Cars
"“Autonomous technology has the potential to help make the jobs of our employees and partners safer and more productive, whether it’s in a fulfillment center or on the road, and we’re excited about the possibilities.”",Companies Working on Autonomous Cars
"The Rivian and Aurora investments aren’t the only autonomous technology play that Amazon is pursuing. In January 2019, the company introduced the Amazon Scout, a 6-wheeled electric-powered delivery robot. These robots are currently making deliveries in a Washington neighborhood and in Southern California’s Irvine area during daylight hours, Monday through Friday, under the supervision of a human associate. In July 2020, the project expanded its geographical coverage. Amazon’s delivery robots will now serve select customers in Franklin, Tennessee and Atlanta, Georgia.",Companies Working on Autonomous Cars
"Additionally, in June 2020, Amazon announced plans to acquire Zoox, a startup developing autonomous driving tech geared toward ride-hailing customers. This $1.2B deal provides the e-commerce giant with access to software, AI, and a full-stack self-driving solution. Backed by Amazon, Zoox is now better equipped to take on its primary rival, Waymo, an Alphabet subsidiary. In December 2020, Zoox unveiled its fully autonomous, electric robotaxi, which can seat 4 passengers and reach speeds of up to 75 mph. The vehicle is currently in testing.",Companies Working on Autonomous Cars
"For Amazon, these developments are years in the making.",Companies Working on Autonomous Cars
"The company initially announced that it would be getting involved in autonomous vehicles at CES 2018 through a partnership with Toyota. The demo vehicle, known as the e-Palette, was designed as a multi-function, autonomous minivan to move goods, people, or even a mobile office. The plan was to debut up to 20 of its e-Palette vehicles at the 2020 Summer Olympics and Paralympic Games in Tokyo to transport athletes. But the Covid-19 pandemic forced Japanese organizers to postpone these sports events until July 2021.",Companies Working on Autonomous Cars
"In 2015, Amazon explored a trial with DHL and Audi that involved delivering customers’ parcels to the trunks of their automobiles.",Companies Working on Autonomous Cars
"In the same year, Amazon filed for a patent for a system that helps autonomous cars navigate roadways, especially complex, reversible lanes, and even pick which lane to use depending on current traffic estimates — an early indicator of the company’s ambitions in this space and AVs’ importance to Amazon when it comes to lowering delivery costs. The company was granted the patent in early 2017.",Companies Working on Autonomous Cars
"In April 2017, the Wall Street Journal reported that Amazon had built a team more than a year prior devoted to focusing on driverless vehicle technology.",Companies Working on Autonomous Cars
"Read more: The Verge, CNBC, Forbes, Business Insider, TechCrunch",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"In January 2019, Apple cut more than 200 employees from its self-driving car initiative, Project Titan, in what was internally described as a “restructuring.” Five months later, Apple confirmed that it had acquired Drive.ai, a self-driving startup that is backed by more than $77M in funding and was valued at $200M in 2017. The move is reported to be an “acqui-hire,” with Apple’s interests lying more with Drive.ai’s talent than its proprietary technology.",Companies Working on Autonomous Cars
"For Apple, the move appears to be an effort to get its own autonomous vehicle efforts back on track. Project Titan has suffered setbacks since as early 2016, which marked the departure of project head Steve Zadesky and a rumored hiring freeze, as well as strategic uncertainty about the vision of the project.",Companies Working on Autonomous Cars
"In July 2016, Apple selected its legendary hardware executive Bob Mansfield to lead its effort, in addition to hiring Dan Dodge, the founder and former CEO of QNX. The hires indicated a shift in strategy, with Project Titan reportedly deciding to prioritize the development of an autonomous driving system, while deprioritizing development of an electric vehicle.",Companies Working on Autonomous Cars
"In April 2017, new details seemed to confirm this pivot: Apple documents revealed the company was building an “automated system,” and the company hired robotics experts from NASA to boost its driverless efforts.",Companies Working on Autonomous Cars
"Apple spent 2018 building out the beginnings of its self-driving car fleet, with 70 vehicles officially on the road and registered with the California DMV as of September of that year. This reportedly made Apple the owner of the third-largest autonomous test vehicle fleet in the state, behind GM Cruise and Waymo. Apple’s test fleet logged a total of 80,739 miles of autonomous driving time from April 2017 through November 2018. In the following 12 months, however, the program slowed, logging only 7,544 miles.",Companies Working on Autonomous Cars
"In May 2018, Apple was reportedly working to provide autonomous cars for employee transit between corporate facilities. The Volkswagen T6 transporter vans slated to be used will feature a human driver present in case of any issues with the self-driving technology in the car.",Companies Working on Autonomous Cars
"In June 2018, Apple brought on Jaime Waydo, a senior engineer with experience at both Waymo and NASA’s Jet Propulsion Laboratory, to work on Project Titan.",Companies Working on Autonomous Cars
"In late 2018, Apple poached a designer and vehicle engineer from Tesla, a move that suggested that it may be reevaluating Project Titan’s move away from building an autonomous vehicle. The company has also built prototypes of an electric van, Apple Insider reported in February 2019.",Companies Working on Autonomous Cars
"In December 2020, Apple transitioned Project Titan to its AI and machine learning group led by John Giannadrea, according to Bloomberg.",Companies Working on Autonomous Cars
The Cupertino-based giant secured a number of patents with the US Patent and Trademark Office in September 2020. One outlines a solution that recognizes when optical sensors fall out of alignment due to bumps in the road or vibrations and adjusts them automatically. Another patent describes a mechanism for steering during autonomous driving.,Companies Working on Autonomous Cars
CB Insights clients can view Apple’s vehicle-related patents here.,Companies Working on Autonomous Cars
"Read more: Gizmodo, The Guardian, Reuters, Bloomberg, The Guardian, Wall Street Journal",Companies Working on Autonomous Cars
,Companies Working on Autonomous Cars
Major developments:,Companies Working on Autonomous Cars
Closer look:,Companies Working on Autonomous Cars
"In February 2020, self-driving software company Aptiv and ridesharing company Lyft reached a major milestone: the companies crossed 100,000 rides of its autonomous passenger service in Las Vegas. The company now services over 3,400 spots in Las Vegas, including popular locations such as the Los Angeles Convention Center and McCarren International Airport.",Companies Working on Autonomous Cars
"The program features a fleet of BMW 540s, retrofitted with Aptiv’s autonomous tech but with a safety driver present in the car. Reception to the program has been positive: Lyft reports that 98% of the passengers who took the rides gave the service a 5-star rating.",Companies Working on Autonomous Cars
"The Lyft partnership is just one of several programs that Aptiv has underway with its self-driving software. The company currently has autonomous driving operations in 4 markets: Boston, Las Vegas, Pittsburgh, and Singapore. In spring 2019, the company announced it was adding a fifth city, Shanghai.",Companies Working on Autonomous Cars
"The expansion into China is a major strategic move for Aptiv. China is expected to account for more than two-thirds of autonomous miles driven worldwide by 2040, according to McKinsey.",Companies Working on Autonomous Cars
Aptiv’s President of Autonomous Mobility Karl Iagnemma said:,Companies Working on Autonomous Cars
"“The long-term opportunity in China is off the charts… For Aptiv, it’s always been a question of not ‘if’ but ‘when’ we’re going to enter the Chinese market.”",Companies Working on Autonomous Cars
"These initiatives have translated into strong financial results for Aptiv. Over the course of 2019, the company’s stock posted gains of more than 50%. Stock performance was impressive in 2020 as well, with per share price reaching around $123 in December 2020.",Companies Working on Autonomous Cars
"Another major Aptiv initiative is Motional, its autonomous driving venture with Hyundai. The venture was officially unveiled in August 2020. Motional aims to build and commercialize SAE Level 4 vehicles (autonomous vehicles that can perform all driving functions), and make this technology available for robotaxi fleets in 2022. To make these plans a reality, Motional plans to increase its staff count to over 1,000 people in 2020. Karl Iagnemma, Motional’s president, says that his team “will have a car that can drive itself in defined areas ready for external testing by 2022.” In late November, the venture received approval from the state of Nevada to test its vehicles on public roads without safety drivers.",Companies Working on Autonomous Cars
